epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,13679,0.81831,0.50968,1.07613,0.93363,0.96329,0.96983,0.68886,0.96683,0.49878,1.25162,0.00036057,0.00036057,0.00036057
42,14001.5,0.81502,0.48832,1.07866,0.92988,0.95176,0.97033,0.69984,0.94704,0.49723,1.24207,0.000351734,0.000351734,0.000351734
43,15367.8,0.81301,0.50582,1.08292,0.93337,0.95835,0.97638,0.69222,0.97571,0.48312,1.24795,0.000342899,0.000342899,0.000342899
44,15914.7,0.80489,0.47785,1.0692,0.95471,0.94473,0.97562,0.69104,0.95891,0.48431,1.25522,0.000334063,0.000334063,0.000334063
45,16429.3,0.80098,0.483,1.06961,0.94571,0.94212,0.97368,0.69827,0.95484,0.48268,1.23406,0.000325227,0.000325227,0.000325227
46,16944.8,0.78926,0.46452,1.05071,0.9385,0.95729,0.96989,0.69181,0.96432,0.48783,1.23545,0.000316391,0.000316391,0.000316391
47,17462.5,0.79353,0.46888,1.05864,0.94129,0.93868,0.96778,0.70138,0.94199,0.49177,1.23897,0.000307555,0.000307555,0.000307555
48,17979.4,0.76863,0.46378,1.05094,0.93886,0.95016,0.96667,0.70011,0.94542,0.49103,1.24044,0.00029872,0.00029872,0.00029872
49,18494.4,0.7787,0.46238,1.06314,0.95956,0.91559,0.97083,0.68974,0.95799,0.478,1.26447,0.000289884,0.000289884,0.000289884
50,19249.9,0.77832,0.46503,1.04947,0.93687,0.95047,0.97235,0.699,0.95764,0.47665,1.25814,0.000281048,0.000281048,0.000281048
51,19515.9,0.77151,0.45064,1.0459,0.94157,0.92842,0.96322,0.69519,0.97308,0.49402,1.25968,0.000272212,0.000272212,0.000272212
52,20814,0.75572,0.45261,1.03654,0.94615,0.92363,0.97235,0.69628,0.95128,0.48815,1.26834,0.000263377,0.000263377,0.000263377
53,21338,0.74208,0.43908,1.03463,0.92912,0.94885,0.96713,0.69665,0.95172,0.48684,1.26741,0.000254541,0.000254541,0.000254541
54,21845.8,0.75203,0.43837,1.04456,0.93291,0.94227,0.96716,0.69093,0.96054,0.48336,1.26629,0.000245705,0.000245705,0.000245705
55,22354.6,0.73476,0.43693,1.01738,0.95068,0.94035,0.9693,0.70004,0.94634,0.48211,1.24783,0.000236869,0.000236869,0.000236869
56,22862.7,0.73208,0.43052,1.02121,0.9518,0.92194,0.9654,0.69685,0.95659,0.4777,1.24679,0.000228034,0.000228034,0.000228034
57,23370.8,0.72645,0.43392,1.02731,0.9353,0.93862,0.9662,0.69825,0.94486,0.48424,1.2321,0.000219198,0.000219198,0.000219198
58,23879.2,0.71462,0.42746,1.01057,0.95434,0.93659,0.96729,0.70058,0.93158,0.47487,1.23179,0.000210362,0.000210362,0.000210362
59,24692.2,0.71844,0.418,1.01036,0.9505,0.93462,0.96948,0.6999,0.93384,0.48635,1.23291,0.000201527,0.000201527,0.000201527
60,24942,0.72135,0.4105,1.00976,0.93363,0.94315,0.9655,0.69538,0.93622,0.48618,1.22628,0.000192691,0.000192691,0.000192691
61,25222.9,0.69781,0.39018,1.00176,0.93934,0.94891,0.9677,0.70427,0.92535,0.47118,1.22521,0.000183855,0.000183855,0.000183855
62,26595.7,0.71568,0.39922,1.00676,0.9356,0.95613,0.96939,0.71569,0.93259,0.47195,1.22859,0.000175019,0.000175019,0.000175019
63,27101.9,0.70834,0.4077,1.01272,0.9471,0.94162,0.96806,0.70918,0.92485,0.46202,1.22051,0.000166183,0.000166183,0.000166183
64,27608,0.6821,0.38666,0.99329,0.95151,0.94437,0.96951,0.705,0.92521,0.46454,1.23032,0.000157348,0.000157348,0.000157348
65,28116.5,0.68566,0.39522,0.99326,0.94266,0.94128,0.96906,0.70463,0.93492,0.47027,1.25509,0.000148512,0.000148512,0.000148512
66,28624.9,0.68012,0.40517,1.00059,0.92241,0.94352,0.96354,0.70099,0.93792,0.47324,1.26403,0.000139676,0.000139676,0.000139676
67,29134.3,0.67263,0.38446,0.99371,0.94108,0.94439,0.96698,0.70539,0.92702,0.47099,1.25751,0.000130841,0.000130841,0.000130841
68,29644,0.6576,0.37523,0.98397,0.94123,0.93924,0.96469,0.70824,0.92585,0.47482,1.25061,0.000122005,0.000122005,0.000122005
69,31955.7,0.6453,0.35654,0.97255,0.94632,0.94449,0.96083,0.70213,0.92698,0.47823,1.25189,0.000113169,0.000113169,0.000113169
70,33716.3,0.6492,0.36063,0.98257,0.9466,0.93694,0.96594,0.70743,0.92982,0.47184,1.25709,0.000104333,0.000104333,0.000104333
71,34225.8,0.6148,0.32804,0.96911,0.93193,0.95271,0.95837,0.70152,0.94121,0.48183,1.26172,9.54975e-05,9.54975e-05,9.54975e-05
72,34734,0.60579,0.3281,0.96527,0.95234,0.93458,0.96019,0.69888,0.94201,0.47114,1.2632,8.66618e-05,8.66618e-05,8.66618e-05
73,35243.9,0.59341,0.31533,0.95577,0.9522,0.93541,0.96284,0.69646,0.94036,0.46484,1.26704,7.7826e-05,7.7826e-05,7.7826e-05
74,35756.2,0.57974,0.31079,0.95023,0.94338,0.93762,0.96183,0.6921,0.94562,0.46954,1.27335,6.89903e-05,6.89903e-05,6.89903e-05
75,36273.9,0.57781,0.30857,0.94315,0.94652,0.92582,0.96085,0.69383,0.94708,0.47334,1.27048,6.01545e-05,6.01545e-05,6.01545e-05
76,36784.3,0.57605,0.30205,0.93879,0.93594,0.94402,0.96083,0.69453,0.94019,0.46914,1.26631,5.13187e-05,5.13187e-05,5.13187e-05
77,37928.4,0.57093,0.29696,0.94222,0.92197,0.95106,0.9596,0.68972,0.94175,0.46929,1.2685,4.2483e-05,4.2483e-05,4.2483e-05
78,38183.6,0.56151,0.299,0.94132,0.91182,0.95205,0.96089,0.69245,0.93785,0.47822,1.2682,3.36472e-05,3.36472e-05,3.36472e-05
79,38459.2,0.56659,0.3001,0.94057,0.91595,0.94859,0.96017,0.69425,0.93456,0.4799,1.26152,2.48115e-05,2.48115e-05,2.48115e-05
80,38739.4,0.55433,0.29309,0.92666,0.93361,0.9316,0.96106,0.69897,0.93271,0.47658,1.25874,1.59757e-05,1.59757e-05,1.59757e-05
